id_provincia;provincias;total;varones;mujeres;NBI
2;Ciudad Autónoma de Buenos Aires;3121707;1439873;1681834;4.752494251
6;Buenos Aires;17523996;8470569;9053427;6.349530286
10;Catamarca;429562;210464;219098;6.882570124
22;Chaco;1129606;547655;581951;11.21908104
26;Chubut;592621;291412;301209;5.142689901
14;Córdoba;3840905;1856395;1984510;4.339070568
18;Corrientes;1212696;589009;623687;11.80205154
30;Entre Ríos;1425578;693547;732031;6.042424
34;Formosa;607419;296810;310609;11.6636227
38;Jujuy;811611;393590;418021;10.87722726
42;La Pampa;361859;177858;184001;2.635389516
46;La Rioja;383865;187348;196517;8.045558231
50;Mendoza;2043540;989578;1053962;6.413067478
54;Misiones;1278873;626076;652797;8.730533492
58;Neuquén;710814;349088;361726;6.623643548
62;Rio Negro;750768;366857;383911;5.896355782
66;Salta;1441351;702839;738512;14.23870181
70;San Juan;822853;401201;421652;8.081944523
74;San Luis;542069;265327;276742;6.516876944
78;Santa Cruz;337226;167133;170093;5.972564606
82;Santa Fe;3544908;1710259;1834649;4.894156207
86;Santiago del Estero;1060906;521543;539363;9.548821421
94;Tierra del Fuego, Antártida e Islas del Atlántico Sur;185732;92340;93392;13.37120583
90;Tucumán;1731820;840020;891800;9.509002219
